Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.778285917,-3.825439453,-16.64898682,-42.6605835,45.95376082
0.788230917,-3.590270996,-16.7119751,-42.7428894,46.03406078
0.798175917,-3.625427246,-16.75430298,-42.54916382,45.87245069
0.808121917,-3.491210938,-16.73072052,-43.06155396,46.32928871
0.818066917,-3.313842773,-16.77886963,-42.89953613,46.18313784
0.828012917,-3.378723145,-16.88130951,-42.7883606,46.1219924
0.837957917,-3.425247192,-16.7555542,-42.82092285,46.10978582
0.847902917,-3.534225464,-16.70405579,-42.69317627,45.98068648
0.857848917,-3.555221558,-16.72232056,-42.42910767,45.74390432
0.867793917,-3.429534912,-16.70493317,-42.65454102,45.9372003
0.877738917,-3.240310669,-16.78619385,-42.58187866,45.88564381
0.887684917,-3.185134888,-16.68112183,-42.58792114,45.84905601
0.897629917,-3.328369141,-16.68144226,-42.4258728,45.70889673
0.907575917,-3.445495605,-16.63191986,-42.60632324,45.86710126
0.917520917,-3.421829224,-16.60870361,-42.54083252,45.79607388
0.927465917,-3.379196167,-16.52152252,-42.63461304,45.84855398
0.937411917,-3.284973145,-16.71754456,-42.99688721,46.24932058
0.947356917,-3.436553955,-16.69923401,-42.76608276,46.03924581
0.957301917,-3.08543396,-16.67963409,-42.5909729,45.8445315
0.967247917,-3.111495972,-16.83705139,-42.60360718,45.91552081
0.977192917,-3.124099731,-16.7980957,-42.63201904,45.92847772
0.987138917,-3.450286865,-16.54405212,-42.66882324,45.89377536
0.997083917,-3.187911987,-16.66104126,-42.34460449,45.61599071
1.007028917,-3.248138428,-16.73284149,-42.78256226,46.0530783
1.016974917,-3.4190979,-16.54098511,-42.83499146,46.04487932
1.026919917,-3.400512695,-16.66898346,-42.57434082,45.84749712
1.036864917,-3.523696899,-16.80844879,-42.48794556,45.82756712
1.046810917,-3.231460571,-16.52106476,-42.70846558,45.90643691
1.056755917,-3.255874634,-16.36553192,-42.46350098,45.62433857
1.066701917,-3.284118652,-16.53852081,-42.12756348,45.37664279
1.076646917,-3.46295166,-16.47138977,-42.39382935,45.61288723
1.086591917,-3.399917603,-16.58898163,-42.44329834,45.69668834
1.096537917,-3.525619507,-16.51560211,-42.70898438,45.92659853
1.106482917,-3.468673706,-16.37776947,-42.87524414,46.02770459
1.116428917,-3.333648682,-16.29930878,-42.65975952,45.7890354
1.126373917,-3.454193115,-16.28276825,-42.68566895,45.81622338
1.136318917,-3.444091797,-16.38736725,-42.87716675,46.03106562
1.146264917,-3.584991455,-16.45039368,-42.56768799,45.77636592
1.156209917,-3.803039551,-16.16913605,-42.70846558,45.82485245
1.166154917,-3.587051392,-16.05204773,-42.8265686,45.87646621
1.176100917,-3.60723877,-16.39711761,-42.74438477,45.92341523
1.186045917,-3.614227295,-16.47802734,-42.70318604,45.91459595
1.195991917,-3.435089111,-16.49778748,-42.70581055,45.910381
1.205936917,-3.503311157,-16.56801605,-42.87536621,46.09847473
1.215881917,-3.500137329,-16.64473724,-42.40219116,45.68636618
1.225827917,-3.425598145,-16.78725433,-42.36917114,45.70222417
1.235772917,-3.518920898,-16.6349411,-42.5329895,45.80566849
